,Tag,Total_views,Videos,Avg_Views/Video
0,就活,2.6B,80.5K,32.6K
1,大学生,7.1B,197.5K,36.0K
2,高校生,17.1B,332.1K,51.6K
3,学部,11.3M,251,45.2K
4,24卒,522.7M,16.6K,31.5K
5,25卒,320.0M,13.0K,24.7K
6,26卒,66.2M,2.2K,30.6K
7,仕事,2.2B,106.9K,20.9K
8,悩み,1.2B,38.3K,31.1K
9,相談,1.0B,25.3K,40.0K
10,ikj共感コミュニティー,138.9K,84,1.7K
11,インカレ,49.1M,2.6K,19.0K
12,学生,2.2B,67.3K,32.5K
13,ソフトボール,443.7M,15.9K,27.9K
14,ベンチャー,108.9M,5.3K,20.4K
15,業界,16.4M,965,17.0K
16,就活生,709.7M,20.4K,34.8K
17,自己分析,45.2M,3.4K,13.4K
18,必見,57.2M,2.0K,29.1K
19,面接対策,228.2M,8.2K,27.8K
20,言葉遣い,24.6M,1.2K,21.4K
21,ダンス,20.5B,844.0K,24.3K
22,就活あるある,253.1M,7.2K,35.0K
23,学生団体,4.2M,1.1K,3.8K
24,軸,5.8M,641,9.0K
25,就活軸,965.0K,55,17.5K
