,title,start_date_time,total_viewers,plus_followers,reward,time
0,専門2年と大学2年のアツアツライブ❗️,"Jan 6, 2024 2:35 PM",784,10,9,53m47s
1,専門2年と大学2年のアツアツライブ❗️,"Jan 2, 2024 6:56 PM",588,5,213,50m29s
2,熱血男とスペゲスさんのアツアツライブ❗️,"Jan 1, 2024 6:50 AM",117,0,0,9m55s
3,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 31, 2023 4:41 PM",377,5,515,23m43s
4,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 31, 2023 3:39 PM",361,2,55,1h1m
5,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 29, 2023 5:09 PM",444,1,29,46m48s
6,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 29, 2023 1:08 PM",209,2,0,49m45s
7,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 29, 2023 10:06 AM",534,17,"2,576",52m32s
8,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 28, 2023 8:03 PM",264,2,0,55m58s
9,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 28, 2023 8:01 PM",0,0,0,2m16s
10,専門2年と大学2年のアツアツライブ❗️,"Jan 6, 2024 2:35 PM",784,10,9,53m47s
11,専門2年と大学2年のアツアツライブ❗️,"Jan 2, 2024 6:56 PM",588,5,213,50m29s
12,熱血男とスペゲスさんのアツアツライブ❗️,"Jan 1, 2024 6:50 AM",117,0,0,9m55s
13,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 31, 2023 4:41 PM",377,5,515,23m43s
14,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 31, 2023 3:39 PM",361,2,55,1h1m
15,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 29, 2023 5:09 PM",444,1,29,46m48s
16,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 29, 2023 1:08 PM",209,2,0,49m45s
17,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 29, 2023 10:06 AM",534,17,"2,576",52m32s
18,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 28, 2023 8:03 PM",264,2,0,55m58s
19,熱血男とスペゲスさんのアツアツライブ❗️,"Dec 28, 2023 8:01 PM",0,0,0,2m16s
20,大学4年と大学3年ピンクタオルLive！🩷,"Dec 28, 2023 7:06 PM",207,1,4,52m19s
21,大学4年と大学2年生の頭良いLive！,"Dec 27, 2023 6:04 PM",216,2,229,51m14s
22,大学4年と大学2年生の頭良いLive！,"Dec 27, 2023 5:12 PM",254,1,6,38m43s
23,大学4年と大学2年生の頭良いLive！,"Dec 27, 2023 5:00 PM",5,0,0,1m7s
24,大学4年と大学2年生の頭良いLive！,"Dec 26, 2023 4:00 PM",315,2,509,1h55m
25,専門2年と大学2年生のクリスマスLIVE！,"Dec 25, 2023 8:32 PM",607,14,436,1h29m
26,専門2年と大学2年生のクリスマスLIVE！,"Dec 25, 2023 7:50 PM",314,3,16,37m48s
27,専門2年と大学3年生の語りLIVE,"Dec 23, 2023 7:07 PM","3,697",55,"1,638",1h52m
28,まっちょ系大学生のソロライブ！,"Dec 22, 2023 3:04 PM",143,1,4,55m47s
29,まっちょ系大学生のソロライブ！,"Dec 21, 2023 6:17 PM",419,7,126,1h13m
30,まっちょ系大学生のソロライブ！,"Dec 21, 2023 12:06 AM",31,0,2,37m44s
31,神道系大学生と激アツ大学生のアツアツLIVE❗️,"Dec 17, 2023 11:00 AM",792,27,9,59m54s
32,キン肉マン大学生とエンジニア大学生のサバサバLIVE❗️,"Dec 16, 2023 6:03 PM",205,0,41,55m28s
33,神田吉野、プチライブ,"Dec 16, 2023 4:27 PM",244,1,"1,850",22m24s
34,筋肉派大学4年の作業ライブ！！コメント是非🙏,"Dec 14, 2023 12:01 AM",117,0,200,44m28s
35,筋肉派大学4年の作業ライブ！！コメント是非🙏,"Dec 13, 2023 7:21 AM",138,0,1,39m1s
36,専門2年の作業ライブ！！コメント是非！,"Dec 12, 2023 11:47 PM",93,1,2,31m29s
37,専門2年の作業ライブ！！コメント是非！,"Dec 12, 2023 10:38 PM",175,1,"1,025",44m1s
38,マッチョ大学生の作業ライブ　たまにコメント読むよ〜,"Dec 12, 2023 12:14 AM",233,0,0,34m11s
39,専門学生のゆるっと配信,"Dec 11, 2023 11:31 PM",173,0,2,38m57s
40,専門学生のゆるっと配信,"Dec 11, 2023 6:33 PM",600,3,497,2h1m
41,神道系大学生とあおきんに君のアツアツトークLIVE❗️,"Dec 10, 2023 2:02 PM",281,2,13,1h6s
42,夜飯！少しだけ！,"Dec 10, 2023 2:31 AM",186,0,1,29m12s
43,激アツ専門生と卒業見込み大学生のぶっちゃけLive❗️,"Dec 6, 2023 4:03 PM",276,4,212,57m29s
44,神田家到着！少しだけー,"Dec 5, 2023 12:58 AM",156,0,1,10m15s
45,19時まで配信します〜IKJについて語ろう！,"Dec 3, 2023 7:24 AM",445,1,3,32m5s
